证券代码,id,企业
2,000002,万科Ａ
2,000002,万科Ａ
2,000002,万科Ａ
2,000002,万科Ａ
2,000002,万科Ａ
2,000002,万科Ａ
2,000002,万科Ａ
2,000002,万科Ａ
2,000002,万科Ａ
2,000002,万科Ａ
2,000002,万科Ａ
2,000002,万科Ａ
2,000002,万科Ａ
2,000002,万科Ａ
2,000002,万科Ａ
2,000002,万科Ａ
2,000002,万科Ａ
2,000002,万科Ａ
2,000002,万科Ａ
2,000002,万科Ａ
2,000002,万科Ａ
4,000004,ST国华
4,000004,ST国华
4,000004,ST国华
4,000004,ST国华
4,000004,ST国华
4,000004,ST国华
4,000004,ST国华
4,000004,ST国华
4,000004,ST国华
4,000004,ST国华
4,000004,ST国华
4,000004,ST国华
4,000004,ST国华
4,000004,ST国华
4,000004,ST国华
5,000005,ST星源
5,000005,ST星源
5,000005,ST星源
5,000005,ST星源
5,000005,ST星源
5,000005,ST星源
5,000005,ST星源
5,000005,ST星源
5,000005,ST星源
5,000005,ST星源
5,000005,ST星源
5,000005,ST星源
5,000005,ST星源
5,000005,ST星源
5,000005,ST星源
5,000005,ST星源
6,000006,深振业Ａ
6,000006,深振业Ａ
6,000006,深振业Ａ
6,000006,深振业Ａ
6,000006,深振业Ａ
6,000006,深振业Ａ
6,000006,深振业Ａ
6,000006,深振业Ａ
6,000006,深振业Ａ
6,000006,深振业Ａ
6,000006,深振业Ａ
6,000006,深振业Ａ
6,000006,深振业Ａ
6,000006,深振业Ａ
6,000006,深振业Ａ
6,000006,深振业Ａ
6,000006,深振业Ａ
6,000006,深振业Ａ
6,000006,深振业Ａ
6,000006,深振业Ａ
6,000006,深振业Ａ
7,000007,全新好
7,000007,全新好
7,000007,全新好
7,000007,全新好
7,000007,全新好
7,000007,全新好
7,000007,全新好
7,000007,全新好
7,000007,全新好
7,000007,全新好
7,000007,全新好
8,000008,神州高铁
8,000008,神州高铁
8,000008,神州高铁
8,000008,神州高铁
8,000008,神州高铁
8,000008,神州高铁
8,000008,神州高铁
8,000008,神州高铁
8,000008,神州高铁
8,000008,神州高铁
8,000008,神州高铁
9,000009,中国宝安
9,000009,中国宝安
9,000009,中国宝安
9,000009,中国宝安
9,000009,中国宝安
9,000009,中国宝安
9,000009,中国宝安
9,000009,中国宝安
9,000009,中国宝安
9,000009,中国宝安
9,000009,中国宝安
9,000009,中国宝安
9,000009,中国宝安
9,000009,中国宝安
9,000009,中国宝安
9,000009,中国宝安
9,000009,中国宝安
9,000009,中国宝安
9,000009,中国宝安
9,000009,中国宝安
9,000009,中国宝安
10,000010,美丽生态
10,000010,美丽生态
10,000010,美丽生态
10,000010,美丽生态
10,000010,美丽生态
10,000010,美丽生态
10,000010,美丽生态
10,000010,美丽生态
10,000010,美丽生态
10,000010,美丽生态
10,000010,美丽生态
10,000010,美丽生态
11,000011,深物业A
11,000011,深物业A
11,000011,深物业A
11,000011,深物业A
11,000011,深物业A
11,000011,深物业A
11,000011,深物业A
11,000011,深物业A
11,000011,深物业A
11,000011,深物业A
11,000011,深物业A
11,000011,深物业A
11,000011,深物业A
11,000011,深物业A
11,000011,深物业A
12,000012,南玻Ａ
12,000012,南玻Ａ
12,000012,南玻Ａ
12,000012,南玻Ａ
12,000012,南玻Ａ
12,000012,南玻Ａ
12,000012,南玻Ａ
12,000012,南玻Ａ
12,000012,南玻Ａ
12,000012,南玻Ａ
12,000012,南玻Ａ
12,000012,南玻Ａ
12,000012,南玻Ａ
12,000012,南玻Ａ
12,000012,南玻Ａ
12,000012,南玻Ａ
12,000012,南玻Ａ
12,000012,南玻Ａ
12,000012,南玻Ａ
12,000012,南玻Ａ
12,000012,南玻Ａ
14,000014,沙河股份
14,000014,沙河股份
14,000014,沙河股份
14,000014,沙河股份
14,000014,沙河股份
14,000014,沙河股份
14,000014,沙河股份
14,000014,沙河股份
14,000014,沙河股份
14,000014,沙河股份
14,000014,沙河股份
14,000014,沙河股份
14,000014,沙河股份
14,000014,沙河股份
14,000014,沙河股份
14,000014,沙河股份
14,000014,沙河股份
14,000014,沙河股份
14,000014,沙河股份
16,000016,深康佳Ａ
16,000016,深康佳Ａ
16,000016,深康佳Ａ
16,000016,深康佳Ａ
16,000016,深康佳Ａ
16,000016,深康佳Ａ
16,000016,深康佳Ａ
16,000016,深康佳Ａ
16,000016,深康佳Ａ
16,000016,深康佳Ａ
16,000016,深康佳Ａ
16,000016,深康佳Ａ
16,000016,深康佳Ａ
16,000016,深康佳Ａ
16,000016,深康佳Ａ
16,000016,深康佳Ａ
16,000016,深康佳Ａ
16,000016,深康佳Ａ
16,000016,深康佳Ａ
16,000016,深康佳Ａ
16,000016,深康佳Ａ
17,000017,深中华A
17,000017,深中华A
17,000017,深中华A
17,000017,深中华A
17,000017,深中华A
17,000017,深中华A
19,000019,深粮控股
19,000019,深粮控股
19,000019,深粮控股
19,000019,深粮控股
19,000019,深粮控股
19,000019,深粮控股
19,000019,深粮控股
19,000019,深粮控股
19,000019,深粮控股
19,000019,深粮控股
19,000019,深粮控股
19,000019,深粮控股
19,000019,深粮控股
19,000019,深粮控股
19,000019,深粮控股
19,000019,深粮控股
19,000019,深粮控股
19,000019,深粮控股
19,000019,深粮控股
19,000019,深粮控股
19,000019,深粮控股
20,000020,深华发Ａ
20,000020,深华发Ａ
20,000020,深华发Ａ
20,000020,深华发Ａ
20,000020,深华发Ａ
20,000020,深华发Ａ
20,000020,深华发Ａ
20,000020,深华发Ａ
20,000020,深华发Ａ
20,000020,深华发Ａ
20,000020,深华发Ａ
20,000020,深华发Ａ
20,000020,深华发Ａ
20,000020,深华发Ａ
20,000020,深华发Ａ
20,000020,深华发Ａ
21,000021,深科技
21,000021,深科技
21,000021,深科技
21,000021,深科技
21,000021,深科技
